id_turma;qnt_disc;qnt_aprovados;qnt_reprovados;qnt_trancamento;media_turma;media_faltas;qnt_reposicao
57573661;1;1.0;0.0;0.0;9.2;0.0;0.0
57573667;1;1.0;0.0;0.0;5.6;16.0;0.0
57573759;1;1.0;0.0;0.0;8.2;0.0;0.0
57573840;1;1.0;0.0;0.0;6.3;0.0;1.0
57573843;1;0.0;1.0;0.0;0.0;0.0;0.0
57573851;1;0.0;1.0;0.0;4.8;16.0;0.0
57573911;20;8.0;11.0;1.0;3.2299999999999995;0.0;2.0
57573919;24;14.0;8.0;2.0;4.7749999999999995;20.333333333333332;0.0
57573920;21;9.0;10.0;2.0;3.3190476190476184;0.0;0.0
57573921;23;7.0;13.0;3.0;2.78695652173913;31.217391304347824;0.0
57573932;4;3.0;0.0;1.0;4.75;13.0;0.0
57573937;1;0.0;1.0;0.0;4.0;4.0;0.0
57573940;22;21.0;0.0;1.0;7.39090909090909;0.0;0.0
57573941;1;1.0;0.0;0.0;8.1;16.0;0.0
57573942;1;1.0;0.0;0.0;8.8;4.0;0.0
57573944;2;0.0;2.0;0.0;0.0;49.5;0.0
57573958;3;2.0;1.0;0.0;5.333333333333333;0.0;0.0
57573997;1;0.0;1.0;0.0;0.0;24.0;0.0
57574020;1;1.0;0.0;0.0;9.3;0.0;0.0
57574067;1;1.0;0.0;0.0;8.3;0.0;0.0
57574085;1;1.0;0.0;0.0;8.7;0.0;0.0
57574087;20;16.0;4.0;0.0;5.859999999999999;0.0;0.0
57574150;1;1.0;0.0;0.0;8.5;6.0;0.0
57574162;21;12.0;9.0;0.0;4.571428571428571;13.047619047619047;2.0
57574164;36;32.0;3.0;1.0;6.469444444444445;8.88888888888889;1.0
57574167;23;20.0;3.0;0.0;6.321739130434783;7.130434782608695;2.0
57574169;27;27.0;0.0;0.0;6.974074074074075;3.111111111111111;1.0
57574199;17;15.0;1.0;1.0;6.529411764705884;4.470588235294118;2.0
57574200;31;22.0;8.0;1.0;4.587096774193549;12.483870967741936;1.0
57574202;25;21.0;4.0;0.0;5.984;7.28;2.0
57574206;18;17.0;1.0;0.0;6.783333333333335;7.0;2.0
57574208;14;13.0;1.0;0.0;6.364285714285715;10.285714285714286;1.0
57574209;27;17.0;10.0;0.0;4.937037037037037;6.666666666666667;2.0
57574210;15;14.0;1.0;0.0;5.893333333333334;10.133333333333333;1.0
57574212;2;1.0;1.0;0.0;5.85;11.0;0.0
57574215;7;7.0;0.0;0.0;5.6;8.571428571428571;1.0
57574216;7;7.0;0.0;0.0;6.300000000000002;14.0;0.0
57574218;2;2.0;0.0;0.0;7.25;0.0;0.0
57574224;5;0.0;5.0;0.0;0.6;0.0;0.0
57574235;1;1.0;0.0;0.0;9.7;0.0;0.0
57574254;20;20.0;0.0;0.0;7.725;0.0;0.0
57574277;17;17.0;0.0;0.0;6.147058823529411;8.352941176470589;1.0
57574328;1;0.0;0.0;1.0;0.0;0.0;0.0
57574422;1;0.0;1.0;0.0;0.0;0.0;0.0
57574437;3;3.0;0.0;0.0;8.566666666666666;0.0;0.0
57574439;1;1.0;0.0;0.0;7.5;4.0;0.0
57574443;1;0.0;0.0;1.0;0.1;0.0;0.0
57574444;1;1.0;0.0;0.0;7.2;0.0;0.0
57574445;1;0.0;0.0;1.0;2.3;20.0;0.0
57574516;1;1.0;0.0;0.0;9.5;0.0;0.0
57574518;1;0.0;1.0;0.0;5.8;0.0;0.0
57574521;1;0.0;0.0;1.0;0.0;0.0;0.0
57574546;1;1.0;0.0;0.0;5.0;0.0;1.0
57574547;1;1.0;0.0;0.0;7.3;10.0;0.0
57574643;1;0.0;1.0;0.0;2.8;13.0;0.0
57574683;2;2.0;0.0;0.0;6.15;0.0;0.0
57574686;3;3.0;0.0;0.0;6.8999999999999995;10.666666666666666;1.0
57574687;2;2.0;0.0;0.0;6.050000000000001;3.0;0.0
57574712;1;1.0;0.0;0.0;8.5;0.0;0.0
57574741;3;2.0;1.0;0.0;3.4;9.333333333333334;0.0
57574742;3;2.0;1.0;0.0;4.233333333333333;28.0;1.0
57574746;1;1.0;0.0;0.0;8.5;6.0;0.0
57574756;2;2.0;0.0;0.0;7.949999999999999;4.0;0.0
57574761;1;1.0;0.0;0.0;5.5;0.0;0.0
57574787;4;2.0;2.0;0.0;3.65;6.0;0.0
57574792;1;0.0;1.0;0.0;0.0;48.0;0.0
57574794;1;0.0;1.0;0.0;1.1;16.0;0.0
57574802;1;1.0;0.0;0.0;6.4;13.0;0.0
57574825;16;13.0;3.0;0.0;5.112500000000001;18.375;0.0
57574826;15;15.0;0.0;0.0;6.706666666666666;6.666666666666667;0.0
57574839;1;1.0;0.0;0.0;5.0;16.0;0.0
57574860;1;1.0;0.0;0.0;6.7;6.0;0.0
57574864;1;1.0;0.0;0.0;8.2;10.0;0.0
57574880;1;1.0;0.0;0.0;8.5;6.0;0.0
57574893;1;1.0;0.0;0.0;8.7;0.0;0.0
57574897;1;0.0;1.0;0.0;0.0;64.0;0.0
57574913;1;0.0;1.0;0.0;0.2;20.0;0.0
57574915;1;1.0;0.0;0.0;5.0;10.0;0.0
57574932;1;0.0;1.0;0.0;0.5;0.0;0.0
57574964;5;5.0;0.0;0.0;7.62;13.0;0.0
57574975;1;1.0;0.0;0.0;7.3;0.0;0.0
57574976;2;2.0;0.0;0.0;9.5;3.0;0.0
57574980;1;0.0;1.0;0.0;0.0;22.0;0.0
57574994;3;3.0;0.0;0.0;8.933333333333334;0.0;0.0
57574995;2;0.0;2.0;0.0;1.5;50.0;0.0
57574997;3;2.0;1.0;0.0;5.8999999999999995;0.0;0.0
57574998;7;3.0;4.0;0.0;3.2857142857142856;23.428571428571427;1.0
57574999;12;9.0;3.0;0.0;5.366666666666667;0.0;0.0
57575006;2;2.0;0.0;0.0;7.75;0.0;0.0
57575011;1;1.0;0.0;0.0;8.7;2.0;0.0
57575013;1;1.0;0.0;0.0;8.7;0.0;0.0
57575058;1;0.0;1.0;0.0;0.0;0.0;0.0
57575064;1;0.0;1.0;0.0;0.0;68.0;0.0
57575074;1;0.0;1.0;0.0;0.0;66.0;0.0
57575084;20;16.0;4.0;0.0;6.5;0.0;0.0
57575088;36;30.0;5.0;1.0;6.980555555555557;4.944444444444445;2.0
57575092;25;18.0;6.0;1.0;5.432;9.84;3.0
57575094;31;29.0;2.0;0.0;7.209677419354839;0.0;0.0
57575095;21;20.0;0.0;1.0;8.866666666666665;0.0;0.0
57575099;19;17.0;1.0;1.0;5.647368421052633;0.42105263157894735;1.0
57575102;3;1.0;2.0;0.0;4.633333333333334;0.0;0.0
57575103;1;1.0;0.0;0.0;8.3;16.0;0.0
57575107;3;3.0;0.0;0.0;7.7;1.3333333333333333;0.0
57575109;12;10.0;2.0;0.0;5.6499999999999995;0.0;0.0
57575111;4;3.0;1.0;0.0;6.875;11.0;0.0
57575114;5;5.0;0.0;0.0;9.120000000000001;0.0;0.0
57575119;1;1.0;0.0;0.0;7.0;6.0;0.0
57575127;4;4.0;0.0;0.0;8.825;0.0;0.0
57575128;1;1.0;0.0;0.0;9.7;0.0;0.0
57575218;4;4.0;0.0;0.0;8.7;0.0;0.0
57575220;2;2.0;0.0;0.0;7.45;14.0;0.0
57575222;1;1.0;0.0;0.0;8.0;10.0;0.0
57575223;3;3.0;0.0;0.0;9.166666666666666;5.333333333333333;0.0
57575226;1;1.0;0.0;0.0;9.1;16.0;0.0
57575239;2;2.0;0.0;0.0;7.7;6.0;0.0
57575244;1;0.0;0.0;1.0;3.4;0.0;0.0
57575245;3;3.0;0.0;0.0;8.566666666666666;0.0;0.0
57575247;1;1.0;0.0;0.0;8.7;8.0;0.0
57575250;1;1.0;0.0;0.0;8.0;12.0;0.0
57575261;1;1.0;0.0;0.0;6.6;15.0;0.0
57575262;1;1.0;0.0;0.0;7.3;12.0;0.0
57575329;2;2.0;0.0;0.0;8.25;9.5;0.0
57575330;1;1.0;0.0;0.0;9.8;0.0;0.0
57575332;6;4.0;1.0;1.0;5.650000000000001;11.5;0.0
57575335;4;2.0;1.0;1.0;4.3;0.0;1.0
57575338;1;0.0;1.0;0.0;2.2;26.0;0.0
57575340;5;4.0;1.0;0.0;5.64;7.2;0.0
57575345;1;1.0;0.0;0.0;8.0;0.0;0.0
57575347;5;1.0;3.0;1.0;2.3;22.8;0.0
57575351;7;5.0;2.0;0.0;5.685714285714285;20.714285714285715;0.0
57575352;5;3.0;2.0;0.0;4.76;0.0;0.0
57575355;10;5.0;3.0;2.0;4.58;10.4;0.0
57575359;1;1.0;0.0;0.0;10.0;0.0;0.0
57575360;4;2.0;2.0;0.0;3.75;22.0;0.0
57575362;1;0.0;1.0;0.0;0.0;0.0;0.0
57575368;1;0.0;1.0;0.0;4.8;10.0;0.0
57575375;2;0.0;1.0;1.0;1.0;0.0;0.0
57575388;1;1.0;0.0;0.0;6.3;10.0;0.0
57575392;2;2.0;0.0;0.0;9.0;0.0;0.0
57575434;2;1.0;1.0;0.0;4.75;16.0;0.0
57575435;1;1.0;0.0;0.0;8.1;6.0;0.0
57575443;1;1.0;0.0;0.0;7.5;6.0;0.0
57575447;4;4.0;0.0;0.0;7.1000000000000005;0.0;0.0
57575450;2;2.0;0.0;0.0;6.45;0.0;0.0
57575474;17;16.0;1.0;0.0;7.188235294117648;0.0;0.0
57575599;7;7.0;0.0;0.0;9.414285714285715;8.857142857142858;0.0
57575613;10;10.0;0.0;0.0;8.95;5.8;0.0
57575616;1;1.0;0.0;0.0;8.2;12.0;0.0
57575624;20;17.0;2.0;1.0;6.33;0.0;2.0
57575625;16;13.0;3.0;0.0;5.562499999999999;9.0;0.0
57575626;6;6.0;0.0;0.0;6.583333333333333;14.0;0.0
57575650;18;14.0;4.0;0.0;5.344444444444444;13.333333333333334;1.0
57575653;15;14.0;1.0;0.0;7.0600000000000005;6.266666666666667;0.0
57575655;18;16.0;2.0;0.0;5.577777777777778;5.611111111111111;3.0
57575657;17;13.0;4.0;0.0;5.699999999999999;8.352941176470589;4.0
57575658;16;16.0;0.0;0.0;8.41875;0.0;0.0
57575659;13;13.0;0.0;0.0;7.723076923076922;6.461538461538462;0.0
57575661;19;13.0;6.0;0.0;5.431578947368421;0.0;0.0
57575663;13;13.0;0.0;0.0;7.053846153846153;6.769230769230769;0.0
57575667;7;5.0;2.0;0.0;4.928571428571429;15.142857142857142;0.0
57575739;2;2.0;0.0;0.0;7.95;0.0;0.0
57575781;2;2.0;0.0;0.0;5.55;0.0;0.0
57575855;1;1.0;0.0;0.0;8.1;1.0;0.0
57575859;2;2.0;0.0;0.0;7.05;0.0;0.0
57575871;4;2.0;2.0;0.0;4.85;14.5;1.0
57575903;1;1.0;0.0;0.0;7.9;4.0;0.0
57575909;1;0.0;1.0;0.0;0.0;62.0;0.0
57575910;1;1.0;0.0;0.0;9.7;6.0;0.0
57575916;15;4.0;11.0;0.0;2.353333333333333;26.666666666666668;1.0
57576012;1;0.0;1.0;0.0;0.0;66.0;0.0
57576018;1;1.0;0.0;0.0;8.7;0.0;0.0
57576194;2;2.0;0.0;0.0;7.75;5.0;0.0
57576345;2;0.0;1.0;1.0;0.0;0.0;0.0
57576348;1;1.0;0.0;0.0;7.0;0.0;0.0
57576368;1;1.0;0.0;0.0;9.5;0.0;0.0
57576370;1;1.0;0.0;0.0;10.0;0.0;0.0
57576373;3;2.0;1.0;0.0;5.433333333333334;0.0;0.0
57576375;3;3.0;0.0;0.0;8.433333333333334;0.0;0.0
57576399;22;19.0;3.0;0.0;5.595454545454546;8.454545454545455;1.0
57576425;117;83.0;22.0;12.0;6.060683760683757;0.0;5.0
57576426;117;26.0;84.0;7.0;2.347863247863249;15.23076923076923;5.0
57576428;79;60.0;13.0;6.0;5.941772151898733;0.0;3.0
57576430;81;18.0;56.0;7.0;2.435802469135802;4.604938271604938;9.0
57576431;84;19.0;48.0;17.0;2.7535714285714294;24.738095238095237;1.0
57576432;75;35.0;32.0;8.0;3.495999999999999;14.48;13.0
57576433;59;17.0;29.0;13.0;2.26271186440678;0.0;2.0
57576523;1;1.0;0.0;0.0;6.9;0.0;0.0
57576528;1;1.0;0.0;0.0;6.3;18.0;0.0
57576533;1;1.0;0.0;0.0;5.0;8.0;0.0
57576583;1;1.0;0.0;0.0;8.0;0.0;0.0
57576596;1;0.0;0.0;1.0;0.0;8.0;0.0
57576607;119;46.0;53.0;20.0;3.2453781512605033;7.361344537815126;5.0
57576608;95;36.0;57.0;2.0;2.9978947368421047;21.231578947368423;2.0
57576609;127;77.0;47.0;3.0;4.818110236220471;0.0;4.0
57576610;100;59.0;39.0;2.0;4.544000000000001;0.0;5.0
57576611;93;32.0;53.0;8.0;2.976344086021506;8.623655913978494;5.0
57576612;99;25.0;62.0;12.0;2.402020202020202;10.929292929292929;2.0
57576613;107;29.0;68.0;10.0;2.1850467289719617;11.121495327102803;2.0
57576614;77;24.0;45.0;8.0;2.623376623376623;17.68831168831169;3.0
57576615;72;5.0;59.0;8.0;0.8333333333333331;36.69444444444444;4.0
57576616;113;87.0;23.0;3.0;5.219469026548671;0.02654867256637168;5.0
57576617;106;55.0;45.0;6.0;3.557547169811322;8.377358490566039;1.0
57576618;117;102.0;10.0;5.0;5.794017094017097;0.05128205128205128;4.0
57576622;2;2.0;0.0;0.0;7.4;0.0;0.0
57576638;3;2.0;1.0;0.0;4.733333333333333;20.666666666666668;0.0
57576647;3;2.0;1.0;0.0;5.400000000000001;18.666666666666668;0.0
57576665;1;1.0;0.0;0.0;8.5;14.0;0.0
57576666;6;6.0;0.0;0.0;7.666666666666667;4.333333333333333;0.0
57576667;2;1.0;1.0;0.0;3.15;27.5;0.0
57576670;4;4.0;0.0;0.0;8.0;5.0;0.0
57576691;5;4.0;1.0;0.0;5.82;4.2;0.0
57576693;6;5.0;1.0;0.0;4.816666666666666;10.666666666666666;0.0
57576697;2;2.0;0.0;0.0;9.15;0.0;0.0
57576701;20;20.0;0.0;0.0;6.8950000000000005;11.9;0.0
57576707;2;2.0;0.0;0.0;7.1;6.0;0.0
57576708;1;0.0;1.0;0.0;4.8;16.0;0.0
57576718;1;1.0;0.0;0.0;7.7;0.0;0.0
57576721;5;5.0;0.0;0.0;8.540000000000001;8.8;0.0
57576726;1;1.0;0.0;0.0;8.4;20.0;0.0
57576729;1;1.0;0.0;0.0;8.0;8.0;0.0
57576752;1;0.0;1.0;0.0;0.9;38.0;0.0
57576756;1;0.0;1.0;0.0;0.0;68.0;0.0
57576759;1;1.0;0.0;0.0;8.0;0.0;0.0
57576762;2;2.0;0.0;0.0;7.05;12.0;0.0
57576766;44;16.0;28.0;0.0;3.3909090909090907;11.386363636363637;2.0
57576768;26;13.0;13.0;0.0;3.496153846153846;17.923076923076923;2.0
57576770;43;40.0;1.0;2.0;6.134883720930231;10.69767441860465;0.0
57576772;3;3.0;0.0;0.0;8.6;0.0;0.0
57576783;39;35.0;3.0;1.0;6.338461538461538;12.256410256410257;0.0
57576795;4;2.0;2.0;0.0;4.525;0.0;0.0
57576796;2;2.0;0.0;0.0;7.050000000000001;0.0;0.0
57576801;4;2.0;2.0;0.0;4.05;19.5;0.0
57576810;3;3.0;0.0;0.0;7.366666666666667;8.666666666666666;0.0
57576811;40;35.0;3.0;2.0;6.4325;0.05;2.0
57576813;14;13.0;1.0;0.0;5.921428571428571;11.285714285714286;0.0
57576814;38;27.0;10.0;1.0;5.45;11.236842105263158;2.0
57576815;42;32.0;8.0;2.0;5.226190476190476;0.0;3.0
57576817;31;29.0;2.0;0.0;6.3096774193548395;0.0;2.0
57576819;24;24.0;0.0;0.0;7.445833333333332;5.041666666666667;0.0
57576821;1;0.0;1.0;0.0;3.5;0.0;0.0
57576822;36;31.0;4.0;1.0;5.911111111111112;13.527777777777779;2.0
57576825;38;34.0;4.0;0.0;7.06842105263158;7.684210526315789;1.0
57576827;39;34.0;4.0;1.0;5.774358974358974;10.615384615384615;1.0
57576830;34;28.0;5.0;1.0;6.2558823529411764;12.352941176470589;0.0
57576832;15;14.0;1.0;0.0;6.586666666666668;6.8;0.0
57576833;1;1.0;0.0;0.0;6.3;0.0;0.0
57576834;18;10.0;8.0;0.0;4.0555555555555545;18.61111111111111;0.0
57576837;1;0.0;1.0;0.0;4.0;0.0;0.0
57576838;9;8.0;1.0;0.0;5.4444444444444455;7.666666666666667;4.0
57576839;4;3.0;1.0;0.0;7.125;3.5;0.0
57576841;9;8.0;1.0;0.0;6.500000000000001;0.0;1.0
57576849;10;10.0;0.0;0.0;7.839999999999999;8.9;0.0
57576857;4;3.0;1.0;0.0;5.275;17.5;0.0
57576866;5;4.0;1.0;0.0;7.8;0.0;0.0
57576877;1;0.0;1.0;0.0;0.1;28.0;0.0
57576902;3;1.0;1.0;1.0;3.233333333333333;5.333333333333333;0.0
57576906;1;0.0;1.0;0.0;0.0;66.0;0.0
57576935;97;36.0;56.0;5.0;3.2876288659793818;11.463917525773196;14.0
57576949;1;0.0;1.0;0.0;0.0;0.0;0.0
57576973;109;87.0;15.0;7.0;5.392660550458716;0.0;5.0
57576974;114;98.0;12.0;4.0;7.29824561403509;5.807017543859649;0.0
57577033;31;26.0;4.0;1.0;6.122580645161291;10.96774193548387;1.0
57577045;1;1.0;0.0;0.0;8.9;0.0;0.0
57577081;1;1.0;0.0;0.0;7.0;20.0;0.0
57577106;5;5.0;0.0;0.0;7.700000000000001;9.0;0.0
57577163;1;1.0;0.0;0.0;8.7;0.0;0.0
57577245;28;20.0;8.0;0.0;5.528571428571429;10.0;0.0
57577247;24;15.0;6.0;3.0;4.741666666666666;15.25;0.0
57577275;1;1.0;0.0;0.0;7.0;0.0;0.0
57577301;1;1.0;0.0;0.0;8.3;0.0;0.0
57577316;23;7.0;12.0;4.0;2.8521739130434782;31.391304347826086;2.0
57577327;3;3.0;0.0;0.0;7.8999999999999995;6.666666666666667;0.0
57577332;19;11.0;6.0;2.0;4.3;23.526315789473685;1.0
57577337;10;10.0;0.0;0.0;8.25;5.6;0.0
57577339;24;11.0;11.0;2.0;4.2250000000000005;26.0;1.0
57577343;24;14.0;9.0;1.0;4.7749999999999995;21.416666666666668;2.0
57577353;22;17.0;4.0;1.0;5.895454545454545;12.363636363636363;1.0
57577355;29;27.0;1.0;1.0;5.982758620689655;10.89655172413793;0.0
57577357;1;1.0;0.0;0.0;6.7;0.0;0.0
57577363;26;24.0;0.0;2.0;7.376923076923077;3.8076923076923075;1.0
57577368;1;0.0;1.0;0.0;0.0;68.0;0.0
57577369;27;25.0;2.0;0.0;7.014814814814816;3.3703703703703702;0.0
57577375;26;25.0;1.0;0.0;6.942307692307692;2.076923076923077;3.0
57577387;23;12.0;9.0;2.0;4.14782608695652;23.304347826086957;2.0
57577393;1;1.0;0.0;0.0;8.7;2.0;0.0
57577394;24;12.0;9.0;3.0;3.9291666666666667;13.666666666666666;2.0
57577399;26;19.0;6.0;1.0;5.746153846153846;12.692307692307692;1.0
