,id_componente,codigo,nome,unidade_responsavel,id_curriculo,tipo_vinculo_componente
37,21783,DIM0437,LINGUAGENS DE PROGRAMACAO: CONCEITOS E PARADIGMAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669382,OPTATIVO
38,21783,DIM0437,LINGUAGENS DE PROGRAMACAO: CONCEITOS E PARADIGMAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,105755388,OPTATIVO
39,21783,DIM0437,LINGUAGENS DE PROGRAMACAO: CONCEITOS E PARADIGMAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101659860,OPTATIVO
40,21783,DIM0437,LINGUAGENS DE PROGRAMACAO: CONCEITOS E PARADIGMAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,102200805,OBRIGATÓRIO
41,21783,DIM0437,LINGUAGENS DE PROGRAMACAO: CONCEITOS E PARADIGMAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101668583,OPTATIVO
42,21787,DIM0436,ESPECIFICACAO E VERIFICACAO DE PROGRAMAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101659860,OPTATIVO
43,21787,DIM0436,ESPECIFICACAO E VERIFICACAO DE PROGRAMAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669382,OPTATIVO
44,21787,DIM0436,ESPECIFICACAO E VERIFICACAO DE PROGRAMAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101658777,OPTATIVO
45,21787,DIM0436,ESPECIFICACAO E VERIFICACAO DE PROGRAMAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,102200805,OPTATIVO
46,21787,DIM0436,ESPECIFICACAO E VERIFICACAO DE PROGRAMAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,105755388,OPTATIVO
47,21787,DIM0436,ESPECIFICACAO E VERIFICACAO DE PROGRAMAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669220,OPTATIVO
48,21787,DIM0436,ESPECIFICACAO E VERIFICACAO DE PROGRAMAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101668583,OPTATIVO
49,21790,DIM0438,REDES DE COMPUTADORES,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,102200805,OBRIGATÓRIO
50,21794,DIM0441,SISTEMAS DISTRIBUIDOS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,89059693,OPTATIVO
51,22429,DCA0408,ACIONAMENTOS PARA CONTROLE E AUTOMACAO,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,89059693,OPTATIVO
52,22916,ELE0582,FUNDAMENTOS DE ELETRONICA,DEPARTAMENTO DE ENGENHARIA ELÉTRICA,115764587,OBRIGATÓRIO
53,23465,FIS0317,ELEMENTOS DE ELETRICIDADE E MAGNETISMO,DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL,102200805,OPTATIVO
54,23538,MAT0312,MATEMATICA PARA ENGENHARIA II,DEPARTAMENTO DE MATEMÁTICA,101668583,OPTATIVO
55,23538,MAT0312,MATEMATICA PARA ENGENHARIA II,DEPARTAMENTO DE MATEMÁTICA,102200805,OBRIGATÓRIO
