id_turma;qnt_disc;qnt_aprovados;qnt_reprovados;qnt_trancamento;media_turma;media_faltas;qnt_reposicao
57583765;1;1.0;0.0;0.0;9.2;12.0;0.0
57583775;2;2.0;0.0;0.0;8.45;4.0;0.0
57583776;1;1.0;0.0;0.0;9.0;2.0;0.0
57583777;3;3.0;0.0;0.0;8.866666666666667;0.0;0.0
57583778;2;2.0;0.0;0.0;8.75;0.0;0.0
57583782;1;0.0;1.0;0.0;0.0;0.0;0.0
57583808;2;2.0;0.0;0.0;6.4;7.5;0.0
57583826;1;1.0;0.0;0.0;8.2;10.0;0.0
57583830;1;1.0;0.0;0.0;10.0;0.0;0.0
57583833;3;3.0;0.0;0.0;7.666666666666667;0.0;0.0
57583844;2;2.0;0.0;0.0;6.1;0.0;0.0
57583878;1;1.0;0.0;0.0;10.0;0.0;0.0
57583898;1;1.0;0.0;0.0;7.4;6.0;0.0
57583899;21;16.0;4.0;1.0;5.552380952380951;0.0;4.0
57583943;1;0.0;1.0;0.0;0.0;40.0;0.0
57583978;1;1.0;0.0;0.0;9.8;10.0;0.0
57583979;1;1.0;0.0;0.0;8.2;0.0;0.0
57584086;1;1.0;0.0;0.0;5.9;16.0;0.0
57584087;3;3.0;0.0;0.0;8.533333333333333;12.666666666666666;0.0
57584095;3;1.0;2.0;0.0;2.6666666666666665;17.333333333333332;0.0
57584097;5;4.0;1.0;0.0;4.72;19.2;0.0
57584128;2;2.0;0.0;0.0;5.4;17.5;0.0
57584131;9;3.0;6.0;0.0;2.877777777777778;0.0;0.0
57584134;3;1.0;2.0;0.0;2.3333333333333335;31.333333333333332;0.0
57584163;1;0.0;1.0;0.0;2.3;10.0;0.0
57584166;3;2.0;0.0;1.0;4.433333333333334;0.0;0.0
57584168;1;0.0;1.0;0.0;0.0;0.0;0.0
57584169;1;0.0;1.0;0.0;2.3;18.0;0.0
57584170;6;4.0;0.0;2.0;4.566666666666666;0.0;0.0
57584177;10;10.0;0.0;0.0;8.21;10.6;0.0
