"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"57593168";"01";"26652";"";"";"61150";"TÉCNICO";"";"Sala 24";"2017";"1";"2017-02-13";"2017-06-17";"2T12";"";"50";"REGULAR";"f";"2017-07-03 19:50:39.259";"f";"";"26";"CONSOLIDADA";"";"Presencial";
"57593169";"02";"21707";"";"";"61150";"TÉCNICO";"";"Sala 24";"2017";"1";"2017-02-13";"2017-06-17";"4T12";"";"50";"REGULAR";"f";"2017-07-05 08:17:47.229";"f";"";"34";"CONSOLIDADA";"";"Presencial";
"57593170";"01";"21707";"";"";"61152";"TÉCNICO";"";"Sala 24";"2017";"1";"2017-01-30";"2017-06-17";"3T56";"0";"50";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57593172";"01";"5752921";"";"Disciplina destinada aos alunos ingressantes até 2015.1.
*Grade curricular antiga.";"18814";"TÉCNICO";"";"Sala 25";"2017";"1";"2017-01-30";"2017-06-17";"2T3456";"0";"30";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57593173";"01";"5752917";"";"";"18773";"TÉCNICO";"";"LAMUCO";"2017";"1";"2017-02-13";"2017-07-01";"3T34";"24";"20";"REGULAR";"f";"2017-07-05 17:37:03.708";"f";"";"36";"CONSOLIDADA";"";"Presencial";
"57593174";"01";"23400";"";"";"18653";"TÉCNICO";"";"Sala 21";"2017";"1";"2017-02-13";"2017-07-01";"3T123";"2";"3";"REGULAR";"f";"2017-06-27 19:31:30.227";"f";"";"57";"CONSOLIDADA";"";"Presencial";
"57593175";"02";"35466";"";"";"18653";"TÉCNICO";"";"Sala 21";"2017";"1";"2017-02-13";"2017-07-01";"6T123";"2";"3";"REGULAR";"f";"2017-07-04 16:07:46.416";"f";"";"6";"CONSOLIDADA";"";"Presencial";
"57593176";"03";"23400";"";"";"18653";"TÉCNICO";"";"Sala 21";"2017";"1";"2017-02-13";"2017-07-01";"5T456";"1";"3";"REGULAR";"f";"2017-06-27 19:34:16.155";"f";"";"51";"CONSOLIDADA";"";"Presencial";
"57593177";"04";"22886";"";"Canto Popular";"18653";"TÉCNICO";"";"Sala 03";"2017";"1";"2017-02-13";"2017-07-01";"3T123";"3";"4";"REGULAR";"f";"2017-06-29 09:56:08.371";"f";"";"57";"CONSOLIDADA";"";"Presencial";
"57593178";"01";"22886";"";"";"18732";"TÉCNICO";"";"Sala 03";"2017";"1";"2017-02-13";"2017-07-01";"4T123";"1";"3";"REGULAR";"f";"2017-06-29 09:58:27.762";"f";"";"18";"CONSOLIDADA";"";"Presencial";
"57593179";"02";"22886";"";"";"18732";"TÉCNICO";"";"Sala 03";"2017";"1";"2017-02-13";"2017-07-01";"4T456";"2";"3";"REGULAR";"f";"2017-06-29 09:59:57.612";"f";"";"18";"CONSOLIDADA";"";"Presencial";
"57593180";"03";"23400";"";"";"18732";"TÉCNICO";"";"Sala 21";"2017";"1";"2017-02-13";"2017-07-01";"3T456";"";"3";"REGULAR";"f";"2017-06-27 19:36:17.575";"f";"";"57";"CONSOLIDADA";"";"Presencial";
