id_turma;qnt_disc;qnt_aprovados;qnt_reprovados;qnt_trancamento;media_turma;media_faltas;qnt_reposicao
57593736;37;28.0;9.0;0.0;4.951351351351351;6.378378378378378;1.0
57593841;1;1.0;0.0;0.0;9.5;9.0;0.0
57593882;29;26.0;3.0;0.0;5.972413793103449;7.517241379310345;0.0
57593883;37;36.0;1.0;0.0;6.829729729729731;0.0;0.0
57593885;8;8.0;0.0;0.0;9.5875;6.5;0.0
57593886;3;3.0;0.0;0.0;7.133333333333333;0.0;0.0
57593887;8;8.0;0.0;0.0;8.912500000000001;0.0;0.0
57593888;10;8.0;2.0;0.0;6.23;0.0;0.0
57593889;36;35.0;1.0;0.0;7.372222222222222;4.361111111111111;0.0
57593890;1;1.0;0.0;0.0;5.6;4.0;0.0
57593891;10;9.0;1.0;0.0;5.700000000000001;0.0;0.0
57593892;1;1.0;0.0;0.0;10.0;0.0;0.0
57593893;14;13.0;0.0;1.0;7.214285714285714;5.428571428571429;0.0
57593894;6;5.0;1.0;0.0;7.333333333333333;6.333333333333333;0.0
57593895;2;2.0;0.0;0.0;9.6;0.0;0.0
57593896;2;2.0;0.0;0.0;5.85;0.0;0.0
57593897;1;0.0;1.0;0.0;4.9;8.0;0.0
57593899;2;2.0;0.0;0.0;6.65;7.0;0.0
57593901;1;1.0;0.0;0.0;10.0;0.0;0.0
57593904;1;1.0;0.0;0.0;6.7;0.0;0.0
57593905;3;3.0;0.0;0.0;8.066666666666668;4.666666666666667;0.0
57593906;2;2.0;0.0;0.0;8.25;0.0;0.0
57593923;1;1.0;0.0;0.0;7.3;0.0;0.0
57593935;1;1.0;0.0;0.0;6.3;0.0;0.0
57593936;3;1.0;2.0;0.0;2.6666666666666665;44.0;0.0
57593942;2;2.0;0.0;0.0;6.15;0.0;0.0
57593945;1;0.0;1.0;0.0;0.0;54.0;0.0
57593962;3;2.0;1.0;0.0;5.266666666666667;20.666666666666668;0.0
57593963;2;1.0;1.0;0.0;2.95;0.0;0.0
57593978;1;0.0;1.0;0.0;0.0;18.0;0.0
57593979;21;13.0;6.0;2.0;4.395238095238095;14.19047619047619;0.0
57594000;1;1.0;0.0;0.0;5.4;10.0;0.0
57594024;1;1.0;0.0;0.0;5.5;10.0;0.0
57594159;1;0.0;0.0;1.0;2.1;0.0;0.0
57594182;1;1.0;0.0;0.0;8.8;0.0;0.0
57594184;2;2.0;0.0;0.0;8.5;0.0;0.0
57594188;1;1.0;0.0;0.0;9.3;0.0;0.0
57594189;3;2.0;1.0;0.0;6.7;26.666666666666668;0.0
57594283;8;8.0;0.0;0.0;8.7125;6.75;0.0
57594288;13;6.0;7.0;0.0;3.6538461538461533;12.615384615384615;3.0
57594298;1;1.0;0.0;0.0;6.1;10.0;0.0
57594508;1;0.0;1.0;0.0;0.0;36.0;0.0
57594580;3;1.0;2.0;0.0;2.8666666666666667;22.0;0.0
57594581;1;0.0;1.0;0.0;1.1;16.0;0.0
57594585;1;1.0;0.0;0.0;8.1;14.0;0.0
57594586;3;3.0;0.0;0.0;7.033333333333334;0.0;0.0
57594587;2;0.0;2.0;0.0;0.5;33.0;0.0
57594591;1;1.0;0.0;0.0;6.7;14.0;0.0
57594593;7;6.0;1.0;0.0;6.371428571428571;0.0;2.0
57594594;11;8.0;3.0;0.0;5.4;13.181818181818182;1.0
57594595;5;4.0;1.0;0.0;7.320000000000002;0.0;0.0
57594596;7;6.0;1.0;0.0;5.571428571428571;9.142857142857142;0.0
57594597;12;8.0;4.0;0.0;4.658333333333333;14.666666666666666;2.0
57594598;8;8.0;0.0;0.0;7.7250000000000005;9.5;0.0
57594599;13;11.0;1.0;1.0;5.115384615384615;0.0;0.0
57594600;7;7.0;0.0;0.0;7.700000000000001;0.0;0.0
57594601;8;6.0;1.0;1.0;6.0125;11.5;0.0
57594686;1;1.0;0.0;0.0;7.0;14.0;0.0
57594689;1;1.0;0.0;0.0;7.2;0.0;0.0
57594759;7;7.0;0.0;0.0;7.485714285714287;4.714285714285714;0.0
57594828;2;1.0;0.0;1.0;3.65;28.0;0.0
57594892;15;15.0;0.0;0.0;7.179999999999999;0.0;0.0
57594909;1;1.0;0.0;0.0;9.3;10.0;0.0
57594971;3;3.0;0.0;0.0;8.666666666666666;0.0;0.0
57594973;15;13.0;1.0;1.0;6.239999999999999;0.0;0.0
57594974;1;0.0;1.0;0.0;2.2;0.0;0.0
57594986;1;1.0;0.0;0.0;7.8;0.0;0.0
57595020;27;27.0;0.0;0.0;6.929629629629629;2.2222222222222223;0.0
57595025;94;61.0;27.0;6.0;5.418085106382979;0.0;7.0
57595026;105;58.0;41.0;6.0;4.548571428571429;0.8571428571428571;7.0
57595027;100;37.0;55.0;8.0;3.452;1.44;4.0
57595028;76;53.0;17.0;6.0;5.53421052631579;0.0;8.0
57595029;79;20.0;50.0;9.0;2.045569620253164;20.126582278481013;1.0
57595030;63;6.0;47.0;10.0;1.2158730158730158;21.58730158730159;1.0
57595031;67;40.0;17.0;10.0;4.798507462686566;11.194029850746269;5.0
57595032;37;16.0;17.0;4.0;3.9027027027027046;21.243243243243242;3.0
57595042;98;39.0;29.0;30.0;3.3448979591836734;18.76530612244898;2.0
57595044;36;2.0;30.0;4.0;1.2277777777777779;8.222222222222221;2.0
57595045;106;17.0;85.0;4.0;2.0726415094339625;12.632075471698114;3.0
57595046;120;76.0;41.0;3.0;5.032500000000001;0.0;4.0
57595047;122;74.0;45.0;3.0;4.766393442622953;0.0;8.0
57595049;28;2.0;21.0;5.0;0.9;44.714285714285715;0.0
57595051;104;21.0;72.0;11.0;1.6942307692307685;27.326923076923077;2.0
57595053;115;10.0;82.0;23.0;1.3443478260869566;37.00869565217391;1.0
57595054;94;5.0;80.0;9.0;0.6989361702127659;39.255319148936174;1.0
57595059;101;8.0;83.0;10.0;0.7980198019801981;35.584158415841586;3.0
57595065;24;14.0;8.0;2.0;5.004166666666666;14.916666666666666;1.0
57595066;23;18.0;5.0;0.0;5.169565217391304;12.26086956521739;0.0
57595067;25;14.0;10.0;1.0;4.424;13.12;1.0
57595068;21;9.0;12.0;0.0;3.4809523809523815;25.238095238095237;0.0
57595069;26;16.0;8.0;2.0;4.530769230769231;11.923076923076923;1.0
57595071;11;10.0;1.0;0.0;6.490909090909091;7.636363636363637;0.0
57595072;23;19.0;3.0;1.0;7.221739130434783;12.608695652173912;1.0
57595073;26;20.0;5.0;1.0;6.5807692307692305;12.153846153846153;1.0
57595074;26;23.0;3.0;0.0;6.869230769230769;8.23076923076923;0.0
57595075;26;25.0;1.0;0.0;7.999999999999999;6.846153846153846;0.0
57595079;27;16.0;8.0;3.0;4.611111111111112;0.0;1.0
57595082;22;15.0;6.0;1.0;5.668181818181818;0.0;2.0
57595083;24;16.0;8.0;0.0;5.008333333333332;0.0;2.0
57595084;27;12.0;15.0;0.0;4.2;0.0;1.0
57595085;21;9.0;12.0;0.0;3.7428571428571424;0.0;2.0
57595087;22;8.0;12.0;2.0;2.986363636363636;0.0;0.0
57595088;9;5.0;3.0;1.0;3.5;0.0;0.0
57595089;23;12.0;10.0;1.0;3.417391304347826;0.0;2.0
57595090;14;4.0;7.0;3.0;2.8642857142857143;0.0;0.0
57595091;13;6.0;4.0;3.0;2.8846153846153846;0.0;2.0
57595095;12;7.0;3.0;2.0;4.008333333333334;19.75;1.0
57595096;24;14.0;10.0;0.0;4.670833333333333;15.083333333333334;1.0
57595097;25;9.0;13.0;3.0;3.4160000000000004;28.56;0.0
57595102;22;15.0;5.0;2.0;4.690909090909091;9.454545454545455;0.0
57595104;24;17.0;6.0;1.0;5.370833333333333;9.583333333333334;1.0
57595105;22;10.0;9.0;3.0;3.3681818181818177;16.318181818181817;0.0
57595106;23;9.0;11.0;3.0;2.8956521739130436;14.434782608695652;0.0
57595107;23;15.0;6.0;2.0;4.360869565217392;9.304347826086957;1.0
57595109;22;13.0;9.0;0.0;4.818181818181819;22.727272727272727;1.0
57595115;17;13.0;3.0;1.0;5.635294117647059;13.411764705882353;0.0
57595118;98;87.0;8.0;3.0;6.301020408163263;4.36734693877551;2.0
57595119;118;100.0;13.0;5.0;6.0288135593220336;4.5508474576271185;3.0
57595120;112;90.0;20.0;2.0;5.132142857142858;7.1875;7.0
57595122;74;54.0;16.0;4.0;4.895945945945947;10.243243243243244;3.0
57595123;81;49.0;25.0;7.0;4.525925925925925;0.0;1.0
57595124;63;42.0;15.0;6.0;4.7968253968253975;3.9365079365079363;3.0
57595125;118;92.0;18.0;8.0;6.42457627118644;0.0;4.0
